Species.x	Group.x	Median_S.x	LCI_S.x	UCI_S.x	Median_W.x	LCI_W.x	UCI_W.x	Median_diff.x	LCI_diff.x	UCI_diff.x	Group.y	Median_S.y	LCI_S.y	UCI_S.y	Median_W.y	LCI_W.y	UCI_W.y	Median_diff.y	LCI_diff.y	UCI_diff.y	Group	Median_S	LCI_S	UCI_S	Median_W	LCI_W	UCI_W	Median_diff	LCI_diff	UCI_diff	eBird.English.Name.2021	eBird.Scientific.Name.2021	Species.y	jetz.eng.name	Diet.Guild	Family	bodymass	size
Indian Roller	2	153	115.75	194.659895833333	19.05625	10.5	42.401875	132.70625	81.749375	178.375	2	436.5	421.625	436.5	414.333333333333	401.333333333333	419.333333333333	21.5833333333334	9.25	35.1916666666667	2	972.387499999999	954.25	1049.015	876.508333333333	822.586666666665	921.815	106	42.0979166666672	195.7855	Indian Roller	Coracias benghalensis	Coracias benghalensis	Indian Roller	Omnivore	Coraciidae (Rollers)	157.45999996156777	Cuckoo sized
Thick-billed Flowerpecker	0	21.3333333333333	21.1708333333333	21.3333333333333	39.7125	17.9246875	55.25	-18.4041666666667	-33.9166666666667	3.40833333333333	0	541.875	479.5	597.916666666667	607.5	516.5	619	-52.4375	-139.5	56.05	2	1551.74	1408.4023125	1563.8	1235.6875	1186.9884375	1245.8875	316.77125	168.612500000001	373.785	Thick-billed Flowerpecker	Dicaeum agile	Dicaeum agile	Thick-billed Flowerpecker	Fruit & Nect	Dicaeidae (Flowerpeckers)	8.999999990895754	Sparrow sized
Indian Blackbird	2	595.95	467.875	757.947604166667	66.25	49.67375	91.25	523.03125	404.789375	692.241979166667	2	1782.16666666667	1761.41666666667	1814.33333333333	1085	1056.584375	1127.5	705.333333333333	652.166666666667	740.91875	2	2324.18333333333	2322.8	2324.98333333333	2175	2175	2175	149.183333333333	147.8	149.983333333333	Indian Blackbird	Turdus simillimus	Turdus merula	not found	Omnivore	Turdidae (Thrushes and Allies)	102.72999997300025	Cuckoo sized
Tawny-bellied Babbler	0	147.775	124.5	268.7021875	231.7875	167.4	306.0946875	-75.6125	-149.0496875	59.7132499999999	2	764.5	702.666666666667	859.333333333333	623.75	619	702.666666666667	126.9375	31.5583333333334	238.127083333333	1	1617	1538.525	1657.875	1822	1822	1822	-205	-283.475000000002	-164.125	Tawny-bellied Babbler	Dumetia hyperythra	Dumetia hyperythra	Tawny-bellied Babbler	Invertebrate	Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)	12.899999991111303	Sparrow sized
Square-tailed Bulbul	2	765	745.666666666667	796.368333333333	656	564.6880625	738.3090625	104.75625	11.9166666666666	194.085	2	1387	1377.978125	1395.5	1236	1230.75	1253.61041666667	156	133.145833333333	164.75	2	2151.75	2144.98875	2151.75	2113.16666666667	2102.075	2116	38.25	30.6150000000001	49.25	Square-tailed Bulbul	Hypsipetes ganeesa	Hypsipetes leucocephalus	not found	Fruit & Nect	Pycnonotidae (Bulbuls)	51.80000003038706	Blackbird sized
Jungle Myna	2	371.375	252.3875	431.234375	93.9125	90.5990625	153.4690625	270.083333333333	146.3153125	334.633333333333	2	1169.625	1146	1177.33333333333	959	942	965	211.925	182.833333333333	231.74	2	2195.8125	2189.33333333333	2202.54833333333	2078.3	2073.7190625	2085.3359375	116.541666666666	106.605312499999	124.877395833333	Jungle Myna	Acridotheres fuscus	Acridotheres fuscus	Jungle Myna	Omnivore	Sturnidae (Starlings)	82.80000004101348	Blackbird sized
White-breasted Waterhen	0	43.75	40.525	45.750625	45.9333333333333	41.149375	46.75	-2.25	-6.15052083333333	2.1890625	2	479.5	465.45625	581.5	461.5	419.333333333333	476	21.75	1.99583333333333	127.416666666667	2	1489.8575	1458.098875	1516.25	1242.20624999999	1230.5875	1456.7	237.528749999999	25.5265833333333	282.451875	White-breasted Waterhen	Amaurornis phoenicurus	Amaurornis phoenicurus	White-breasted Waterhen	Omnivore	Rallidae (Rails, Gallinules, and Coots)	179.9999999571833	Cuckoo sized
Asian Woolly-necked Stork	0	43.75	21.6733333333333	87.25	38.4166666666667	25.4583333333333	67.1666666666667	5.73541666666667	-23.676875	52.4417708333333	0	581.5	419.333333333333	664.625	634.333333333333	581.488541666667	704.85	-66.375	-222.057291666667	30.3124999999999	2	1072.9	1032.061875	1103.25	962.683333333333	953.555	1062.08333333333	101.8125	0.680416666666833	140.495	Asian Woolly-necked Stork	Ciconia episcopus	Ciconia episcopus	not found	NA	NA	2061.000001047774	Larger
Ashy Prinia	2	267.4375	260.2	284	143.5	131.57875	183.1175	123.410416666667	91.5609375	143.97875	2	702.666666666667	642	767.75	461.5	453.083333333333	479.5	241.166666666667	182.571875	306.25	2	2035.5	2035.5	2035.5	1968.5	1934.86666666667	2006	67	29.5000000000009	100.633333333334	Ashy Prinia	Prinia socialis	Prinia socialis	Ashy Prinia	Invertebrate	Cisticolidae (Cisticolas and Allies)	8.000000000148404	Sparrow sized
White-rumped Shama	0	101.25	71.12625	234.355416666667	104.004166666667	75.629	302.526875	0.735416666666659	-156.105729166667	129.859645833333	2	825	778.333333333333	870.659375	696.2	687.25	753.140625	107.083333333333	29.1406250000001	176.80375	2	1698.125	1688.9	1729.475	1495.55	1246.2034375	1574.5625	206.408333333334	122.856041666667	459.065104166668	White-rumped Shama	Copsychus malabaricus	Copsychus malabaricus	White-rumped Shama	Invertebrate	Muscicapidae (Old World Flycatchers)	29.229999975942903	Bulbul sized
