species,LONGITUDE,LATITUDE
species,75.1812019,13.2273054
species,75.1813689,14.0154772
species,75.1814746,13.8092909
species,75.1815873,13.2076574
species,75.1819432,12.4504812
species,75.1825461,12.391844
species,75.1829874,13.2176049
species,75.1833302,13.4187843
species,75.1833775,13.2276335
species,75.1834345,12.5068892
species,75.1840456,13.4772222
species,75.1843082,13.6983963
species,75.1851675,12.4019333
species,75.1853627,13.2259155
species,75.1853713,14.0942776
species,75.1862519,13.2104531
species,75.1868858,13.7209207
species,75.187264,12.482483
species,75.1880546,12.4734397
species,75.1887383,14.2822742
species,75.189412,12.586755
species,75.1894225,13.2175006
species,75.190127,12.4140435
species,75.1908511,13.8692156
species,75.1909598,12.4617363
species,75.1925513,12.4665808
species,75.1929621,13.1101925
species,75.1933269,13.9996489
species,75.1941491,12.3817036
species,75.1943311,14.190836
species,75.1951769,13.198401
species,75.195192,12.393505
species,75.1952922,13.1105669
species,75.1956654,13.2005071
species,75.196201,12.412454
species,75.1965151,12.4665693
species,75.1972703,13.2157599
species,75.1978105,12.4000122
species,75.198471,12.5845545
species,75.1988652,13.7259107
species,75.1989055,13.7585813
species,75.1992817,13.1117297
species,75.1993463,13.2036842
species,75.1999157,12.4833549
species,75.1999421,13.7712207
species,75.200493,12.408347
species,75.200561,12.333322
species,75.2010298,12.400396
species,75.2011155,13.1094988
species,75.2020126,13.0604911
species,75.2020701,14.0859338
species,75.2021241,13.7535167
species,75.2022314,12.4652403
species,75.202806,14.050533
species,75.20355,12.485365
species,75.2036735,13.2008873
species,75.2040473,12.4018751
species,75.2040895,12.3857868
species,75.2041682,12.3917133
species,75.204593,12.3678737
species,75.20464,13.8654553
species,75.2050209,13.6610832
species,75.2051282,12.5038726
species,75.205352,12.466938
species,75.2069169,12.5656403
species,75.2069438,13.20074
species,75.207171,12.5241963
species,75.2079733,12.5590884
species,75.208232,12.3556403
species,75.2082892,14.0825862
species,75.2083382,13.1215969
species,75.2084295,12.5120469
species,75.2092573,13.2158142
species,75.2093709,12.369495
species,75.210007,13.365139
species,75.2104724,13.2010364
species,75.210548,13.674467
species,75.210703,14.081712
species,75.211221,13.47773
species,75.211926,13.1970797
species,75.2121205,12.3503953
species,75.212729,13.377087
species,75.213447,14.080979
species,75.2153072,12.3810003
species,75.215381,12.547624
species,75.2158369,12.55584
species,75.21806,12.5051783
species,75.2182452,12.4730146
species,75.2192666,13.0699332
species,75.220075,13.4682585
species,75.2203202,12.498803
species,75.221069,13.390575
species,75.2218176,12.431354
species,75.2248484,12.443489
species,75.2263602,13.6259603
species,75.2268,13.2388
species,75.2268077,12.3755025
species,75.2282213,13.7576298
species,75.229333,13.2196562
species,75.2294324,13.6872394
species,75.230436,12.3905557
species,75.2307572,13.6831897
species,75.2310343,13.2324407
species,75.2318815,13.2199583
species,75.2333715,13.6975566
species,75.233727,13.213622
species,75.2342014,13.2324719
species,75.234747,13.702812
species,75.2348457,12.3554078
species,75.2351904,12.4104663
species,75.2352617,12.41398
species,75.23604,13.6838047
species,75.2364891,13.6955029
species,75.23678,13.22722
species,75.2377982,13.6968609
species,75.2394783,13.7192906
species,75.2394898,13.6893719
species,75.2415164,13.6646162
species,75.2419735,12.5113013
species,75.2423483,12.3864917
species,75.2441104,13.417851
species,75.244139,13.68508
species,75.2442602,13.6901438
species,75.244452,13.516021
species,75.2453196,13.6868593
species,75.2453399,13.6802858
species,75.2453413,13.2181218
species,75.2459635,13.9802126
species,75.2463623,13.8114441
species,75.2472067,12.5397343
species,75.247815,13.689908
species,75.2486336,13.4201228
species,75.24875,13.2151
species,75.2488532,12.4167535
species,75.2495134,13.413624
species,75.2495492,13.4184005
species,75.2498533,13.6900405
species,75.2500883,13.4228662
species,75.2501744,12.3455287
